Institut,Dates,Échantillon,LO,NPA,PCF,LFI,UDMF,"PS - PP",EELV,ND,"PRG - RPS",EAC,EP,ENS,"AR - RES",LR,LP,RN,REC,UPR,PA,Autres,Institut,Date,Hypothèse,"INF LO","INF NPA","INF PCF","INF LFI","INF UDMF","INF PS - PP","INF EELV","INF ND","INF PRG","INF EAC","INF EP","INF ENS","INF AR - RES","INF LR","INF LP","INF RN","INF REC","INF UPR","INF PA","INF Autres","SUP LO","SUP NPA","SUP PCF","SUP LFI","SUP UDMF","SUP PS","SUP EELV","SUP ND","SUP PRG","SUP EAC","SUP EP","SUP ENS","SUP AR-RES","SUP LR","SUP LP","SUP RN","SUP REC","SUP UPR","SUP PA","SUP Autres"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifop,"24-28 mai 2024",1809,"0.5 ","<0.5 ","2.5 ","7.5 ","0.5 ","14 ","6 ","<0.5 ","0.5 ","0.5 ","<0.5 ","15.5 ","1 ","7 ","1 ","34 ","6 ","1 ","1.5 ",nc,Ifop,"24-28 mai 2024",,0.07,0.00,1.53,5.82,0.07,11.70,4.50,0.00,0.07,0.07,0.00,13.08,0.39,5.38,0.39,30.42,4.50,0.39,0.75,0.00,0.9,0.0,3.5,9.2,0.9,16.3,7.5,0.0,0.9,0.9,0.0,17.9,1.6,8.6,1.6,37.6,7.5,1.6,2.3,0.0
"Harris Interactive","24-27 mai 2024",2347,"0.5 ","0.5 ","3 ","8.5 ","0.5 ","14 ","5 ","0.5 ","0.5 ","0.5 ","0.5 ","14.5 ","1 ","7 ","1 ","32 ","5 ","1 ","1 ",nc,"Harris Interactive","24-27 mai 2024",,0.07,0.07,1.94,6.71,0.07,11.70,3.63,0.07,0.07,0.07,0.07,12.16,0.39,5.38,0.39,28.53,3.63,0.39,0.39,0.00,0.9,0.9,4.1,10.3,0.9,16.3,6.4,0.9,0.9,0.9,0.9,16.8,1.6,8.6,1.6,35.5,6.4,1.6,1.6,0.0
Elabe,"24-25 mai 2024",1804,"1 ","0 ","2 ","8 ","0 ","13 ","6 ","0 ","0 ","1 ","0.5 ","15.5 ","1.5 ","7 ","0.5 ","33 ","5.5 ","1 ","2 ",nc,Elabe,"24-25 mai 2024",,0.39,0.00,1.13,6.26,0.00,10.79,4.50,0.00,0.00,0.39,0.07,13.08,0.75,5.38,0.07,29.47,4.06,0.39,1.13,0.00,1.6,0.0,2.9,9.7,0.0,15.2,7.5,0.0,0.0,1.6,0.9,17.9,2.3,8.6,0.9,36.5,6.9,1.6,2.9,0.0
Odoxa,"23-24 mai 2024",991,"2 ","1 ","2.5 ","7 ","<0.5 ","13.5 ","6 ","<0.5 ","<0.5 ","0.5 ","<0.5 ","15 ","1 ","7 ","1.5 ","34 ","4 ","0.5 ","1.5 ",nc,Odoxa,"23-24 mai 2024",,1.13,0.39,1.53,5.38,0.00,11.24,4.50,0.00,0.00,0.07,0.00,12.62,0.39,5.38,0.75,30.42,2.77,0.07,0.75,0.00,2.9,1.6,3.5,8.6,0.0,15.8,7.5,0.0,0.0,0.9,0.0,17.4,1.6,8.6,2.3,37.6,5.2,0.9,2.3,0.0
Ifop,"21-24 mai 2024",1362,"0.5 ","0.5 ","2 ","7.5 ","<0.5 ","14.5 ","5 ","<0.5 ","<0.5 ","0.5 ","0.5 ","16 ","1 ","7.5 ","1.5 ","33 ","6.5 ","0.5 ","1.5 ",nc,Ifop,"21-24 mai 2024",,0.07,0.07,1.13,5.82,0.00,12.16,3.63,0.00,0.00,0.07,0.07,13.54,0.39,5.82,0.75,29.47,4.93,0.07,0.75,0.00,0.9,0.9,2.9,9.2,0.0,16.8,6.4,0.0,0.0,0.9,0.9,18.5,1.6,9.2,2.3,36.5,8.1,0.9,2.3,0.0
"Cluster 17","21-22 mai 2024",1667,"1 ","0.5 ","2 ","8 ",nc,"14 ","5 ","0.5 ","1 ","0.5 ","0.5 ","16 ","1.5 ","6.5 ","1.5 ","29 ","6 ","1.5 ","2 ","3 ","Cluster 17","21-22 mai 2024",,0.39,0.07,1.13,6.26,0.00,11.70,3.63,0.07,0.39,0.07,0.07,13.54,0.75,4.93,0.75,25.69,4.50,0.75,1.13,0.00,1.6,0.9,2.9,9.7,0.0,16.3,6.4,0.9,1.6,0.9,0.9,18.5,2.3,8.1,2.3,32.3,7.5,2.3,2.9,0.0
OpinionWay,"21-22 mai 2024",1021,"1 ","2 ","2 ","7 ","<1 ","13 ","5 ","<1 ","<1 ","<1 ","<1 ","16 ","1 ","8 ","1 ","32 ","7 ","1 ","1 ",nc,OpinionWay,"21-22 mai 2024",,0.39,1.13,1.13,5.38,0.00,10.79,3.63,0.00,0.00,0.00,0.00,13.54,0.39,6.26,0.39,28.53,5.38,0.39,0.39,0.00,1.6,2.9,2.9,8.6,0.0,15.2,6.4,0.0,0.0,0.0,0.0,18.5,1.6,9.7,1.6,35.5,8.6,1.6,1.6,0.0
Viavoice,"20-21 mai 2024",2000,"0.5 ","0.5 ","1 ","6.5 ","0.5 ","14 ","7 ","<0.5 ","<0.5 ","1 ",nc,"17 ","1.5 ","6.5 ","1 ","32 ","6 ","1 ","1.5 ","2 ",Viavoice,"20-21 mai 2024",,0.07,0.07,0.39,4.93,0.07,11.70,5.38,0.00,0.00,0.39,0.00,14.47,0.75,4.93,0.39,28.53,4.50,0.39,0.75,0.00,0.9,0.9,1.6,8.1,0.9,16.3,8.6,0.0,0.0,1.6,0.0,19.5,2.3,8.1,1.6,35.5,7.5,1.6,2.3,0.0
Ifop,"19-21 mai 2024",1344,"1 ","<0.5 ","2 ","7.5 ","<0.5 ","15 ","5.5 ","0.5 ","0.5 ","0.5 ","0.5 ","16.5 ","1 ","7.5 ","1 ","32 ","6 ","1 ","1.5 ","0.5 ",Ifop,"19-21 mai 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Le Journal Officiel publie les 38 listes candidates à l'élection des 
représentants au Parlement européen",,,,,,,,,,,,,,,,,,,,,,,"Le Journal Officiel publie les 38 listes candidates à l'élection des 
représentants au Parlement européen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
